1 6 11
45 8 61
6 7 11
7 8 11
1 7 6
3 8 6
5 9 6
11 13 45
4 9 5
5 11 6
344 18 612
6 13 7
4 10 5
5 13 6
6 16 7
7 18 11
1 8 3
2 9 3
3 11 4
4.5 14 5
6.7 21 7
3.1 12 4
0.2 6 1
8 26 11
8 27 11
8 28 11
1 10 2
1 11 2
1 12 2
1 13 2
1 14 2
1 15 2
1 16 2
1 17 2
1 18 2
34 40 45
12 40 34
12 41 34
34 43 45
12 42 34
12 43 34
34 46 45
12 44 34
12 45 34
19 46 34
18 46 19
17 46 18
19 49 34
18 48 19
17 47 18
19 52 34
18 50 19
17 48 18
11 40 12
6 32 6.7
45 61 61
6 33 6.7
7 37 8
12 50 17
3 22 3.1
4 26 4.5
55 67 61
66 69 344
7 40 8
4 27 4.5
2 20 3
1 19 2
0.1 6 0.2
0.002 6 0.1
19 68 34
20 69 34
211 78 344
23 70 34
24 71 34
22 70 23
4 32 4.5
5 37 6
6 43 6.7
7 49 8
1 22 2
2 25 3
3 29 3.1
4.5 37 5
6.7 49 7
3.1 31 4
0.2 9 1
8 60 11
8 61 11
8 62 11
1 24 2
1 25 2
1 26 2
1 27 2
1 28 2
1 29 2
1 30 2
1 31 2
1 32 2
34 99 45
12 82 17
12 83 17
34 102 45
12 84 17
12 85 17
34 105 45
12 86 17
12 87 17
19 98 20
18 94 19
17 91 18
19 101 20
18 96 19
17 92 18
19 104 20
18 98 19
17 93 18
19 107 20
20 109 22
211 125 344
23 112 24
24 114 34
22 111 23
4 47 4.5
5 54 6
6 61 6.7
7 69 8
1 33 2
2 37 3
3 42 3.1
4.5 53 5
6.7 68 7
3.1 45 4
0.2 10 1
8 83 11
8 84 11
8 85 11
1 35 2
1 36 2
1 37 2
1 38 2
1 39 2
1 40 2
1 41 2
1 42 2
1 43 2
34 145 45
12 111 17
12 112 17
34 148 45
12 113 17
12 114 17
34 151 45
12 115 17
12 116 17
19 137 20
18 129 19
17 123 18
19 140 20
18 131 19
17 124 18
19 143 20
18 133 19
17 125 18
0.003 7 0.1
0.004 8 0.1
-1 4 1e-05
1 47 2
1 48 2
1 49 2
1 50 2
1 51 2
1 52 2
1 53 2
1 54 2
1 55 2
1 56 2
1 57 2
1 58 2
1 59 2
1 60 2
1 61 2
1 62 2
1 63 2
1 64 2
1 65 2
1.1 66 2
1.1 67 2
1.1 68 2
1.1 69 2
1.1 70 2
1.1 71 2
1.12 72 2
1.12 73 2
1.12 74 2
1.12 75 2
1.12 76 2
1.12 77 2
1.12 78 2
1.12 79 2
1.12 80 2
1.12 81 2
1.12 82 2
1.12 83 2
1.12 84 2
1.12 85 2
1.12 86 2
1.12 87 2
1.141 88 2
1.141 89 2
1.141 90 2
1.141 91 2
